Limb,Time,Value
LEFT_ARM,1624931814579000000,1.8353288E7
LEFT_ARM,1624931814612332969,1.8338802E7
LEFT_ARM,1624931814645665937,1.8335744E7
LEFT_ARM,1624931814678998906,1.8325554E7
LEFT_ARM,1624931814712331875,1.8320506E7
LEFT_ARM,1624931814745664844,1.831649E7
LEFT_ARM,1624931814778997812,1.8314106E7
LEFT_ARM,1624931814812330781,1.8310392E7
LEFT_ARM,1624931814845663750,1.8304798E7
LEFT_ARM,1624931814878996719,1.8304158E7
LEFT_ARM,1624931814912329687,1.8303548E7
LEFT_ARM,1624931814945662656,1.830246E7
LEFT_ARM,1624931814978995625,1.8299234E7
LEFT_ARM,1624931815012328594,1.8304584E7
LEFT_ARM,1624931815045661562,1.8299106E7
LEFT_ARM,1624931815078994531,1.8302398E7
LEFT_ARM,1624931815112327500,1.8305152E7
LEFT_ARM,1624931815145660469,1.8305216E7
LEFT_ARM,1624931815178993437,1.8304108E7
LEFT_ARM,1624931815212326406,1.8281978E7
LEFT_ARM,1624931815245659375,1.8238872E7
LEFT_ARM,1624931815278992344,1.8197482E7
LEFT_ARM,1624931815312325312,1.816405E7
LEFT_ARM,1624931815345658281,1.8131068E7
LEFT_ARM,1624931815378991250,1.8103646E7
LEFT_ARM,1624931815412324219,1.8080378E7
LEFT_ARM,1624931815445657187,1.8063446E7
LEFT_ARM,1624931815478990156,1.8054466E7
LEFT_ARM,1624931815512323125,1.8048898E7
LEFT_ARM,1624931815545656094,1.8038272E7
LEFT_ARM,1624931815578989062,1.8025768E7
LEFT_ARM,1624931815612322031,1.8021962E7
LEFT_ARM,1624931815645655000,1.8015698E7
LEFT_ARM,1624931815678987969,1.8014818E7
LEFT_ARM,1624931815712320937,1.8013344E7
LEFT_ARM,1624931815745653906,1.8017222E7
LEFT_ARM,1624931815778986875,1.8023634E7
LEFT_ARM,1624931815812319844,1.8028206E7
LEFT_ARM,1624931815845652812,1.8031696E7
LEFT_ARM,1624931815878985781,1.8040624E7
LEFT_ARM,1624931815912318750,1.8046228E7
LEFT_ARM,1624931815945651719,1.805219E7
LEFT_ARM,1624931815978984687,1.8059318E7
LEFT_ARM,1624931816012317656,1.8068082E7
LEFT_ARM,1624931816045650625,1.807628E7
LEFT_ARM,1624931816078983594,1.8078636E7
LEFT_ARM,1624931816112316562,1.8083492E7
LEFT_ARM,1624931816145649531,1.8090598E7
LEFT_ARM,1624931816178982500,1.8101604E7
LEFT_ARM,1624931816212315469,1.8102126E7
LEFT_ARM,1624931816245648437,1.8090446E7
LEFT_ARM,1624931816278981406,1.8067358E7
LEFT_ARM,1624931816312314375,1.8030406E7
LEFT_ARM,1624931816345647344,1.7999492E7
LEFT_ARM,1624931816378980312,1.797219E7
LEFT_ARM,1624931816412313281,1.7947476E7
LEFT_ARM,1624931816445646250,1.7915624E7
LEFT_ARM,1624931816478979219,1.7899834E7
LEFT_ARM,1624931816512312187,1.7891398E7
