Limb,Time,Value
LEFT_ARM,1625020592130000000,1.6141552E7
LEFT_ARM,1625020592163332969,1.6117443E7
LEFT_ARM,1625020592196665938,1.6093677E7
LEFT_ARM,1625020592229998907,1.6079349E7
LEFT_ARM,1625020592263331875,1.6090979E7
LEFT_ARM,1625020592296664844,1.6092245E7
LEFT_ARM,1625020592329997813,1.6096312E7
LEFT_ARM,1625020592363330782,1.6109867E7
LEFT_ARM,1625020592396663750,1.6122655E7
LEFT_ARM,1625020592429996719,1.6133435E7
LEFT_ARM,1625020592463329688,1.6148885E7
LEFT_ARM,1625020592496662657,1.6164087E7
LEFT_ARM,1625020592529995625,1.6183189E7
LEFT_ARM,1625020592563328594,1.6219985E7
LEFT_ARM,1625020592596661563,1.6251583E7
LEFT_ARM,1625020592629994532,1.6268327E7
LEFT_ARM,1625020592663327500,1.6296467E7
LEFT_ARM,1625020592696660469,1.6319939E7
LEFT_ARM,1625020592729993438,1.6347712E7
LEFT_ARM,1625020592763326407,1.6380752E7
LEFT_ARM,1625020592796659375,1.6408257E7
LEFT_ARM,1625020592829992344,1.6401636E7
LEFT_ARM,1625020592863325313,1.6342693E7
LEFT_ARM,1625020592896658282,1.6271659E7
LEFT_ARM,1625020592929991250,1.6183672E7
LEFT_ARM,1625020592963324219,1.6095753E7
LEFT_ARM,1625020592996657188,1.6028361E7
LEFT_ARM,1625020593029990157,1.5974828E7
LEFT_ARM,1625020593063323125,1.5922373E7
LEFT_ARM,1625020593096656094,1.588522E7
LEFT_ARM,1625020593129989063,1.5866344E7
LEFT_ARM,1625020593163322032,1.5844853E7
LEFT_ARM,1625020593196655000,1.5824475E7
LEFT_ARM,1625020593229987969,1.5815205E7
LEFT_ARM,1625020593263320938,1.5808263E7
LEFT_ARM,1625020593296653907,1.5796107E7
LEFT_ARM,1625020593329986875,1.5794127E7
LEFT_ARM,1625020593363319844,1.580174E7
LEFT_ARM,1625020593396652813,1.5808187E7
LEFT_ARM,1625020593429985782,1.5818561E7
LEFT_ARM,1625020593463318750,1.5843793E7
LEFT_ARM,1625020593496651719,1.5854348E7
LEFT_ARM,1625020593529984688,1.5859491E7
LEFT_ARM,1625020593563317657,1.587124E7
LEFT_ARM,1625020593596650625,1.5889512E7
LEFT_ARM,1625020593629983594,1.5902705E7
LEFT_ARM,1625020593663316563,1.5900781E7
LEFT_ARM,1625020593696649532,1.5910076E7
LEFT_ARM,1625020593729982500,1.592428E7
LEFT_ARM,1625020593763315469,1.5937192E7
LEFT_ARM,1625020593796648438,1.5952792E7
LEFT_ARM,1625020593829981407,1.5967103E7
LEFT_ARM,1625020593863314375,1.5984192E7
LEFT_ARM,1625020593896647344,1.6001015E7
LEFT_ARM,1625020593929980313,1.5994661E7
LEFT_ARM,1625020593963313282,1.5945301E7
LEFT_ARM,1625020593996646250,1.5875213E7
LEFT_ARM,1625020594029979219,1.5807845E7
LEFT_ARM,1625020594063312188,1.5742409E7
LEFT_ARM,1625020594096645157,1.5695923E7
LEFT_ARM,1625020594129978125,1.5641847E7
LEFT_ARM,1625020594163311094,1.5602235E7
LEFT_ARM,1625020594196644063,1.5584691E7
LEFT_ARM,1625020594229977032,1.5566295E7
LEFT_ARM,1625020594263310000,1.5554907E7
LEFT_ARM,1625020594296642969,1.5545869E7
LEFT_ARM,1625020594329975938,1.553376E7
LEFT_ARM,1625020594363308907,1.55296E7
LEFT_ARM,1625020594396641875,1.5533603E7
LEFT_ARM,1625020594429974844,1.5538604E7
LEFT_ARM,1625020594463307813,1.5543981E7
LEFT_ARM,1625020594496640782,1.5548519E7
LEFT_ARM,1625020594529973750,1.5554973E7
LEFT_ARM,1625020594563306719,1.5561877E7
LEFT_ARM,1625020594596639688,1.5573285E7
LEFT_ARM,1625020594629972657,1.5581539E7
LEFT_ARM,1625020594663305625,1.5591964E7
LEFT_ARM,1625020594696638594,1.5605477E7
LEFT_ARM,1625020594729971563,1.5626607E7
LEFT_ARM,1625020594763304532,1.5641499E7
LEFT_ARM,1625020594796637500,1.5660032E7
LEFT_ARM,1625020594829970469,1.5680592E7
LEFT_ARM,1625020594863303438,1.5700933E7
LEFT_ARM,1625020594896636407,1.5727541E7
LEFT_ARM,1625020594929969375,1.5747813E7
LEFT_ARM,1625020594963302344,1.576164E7
LEFT_ARM,1625020594996635313,1.5784564E7
LEFT_ARM,1625020595029968282,1.5787033E7
LEFT_ARM,1625020595063301250,1.5745216E7
LEFT_ARM,1625020595096634219,1.5680116E7
LEFT_ARM,1625020595129967188,1.5615752E7
LEFT_ARM,1625020595163300157,1.5565324E7
LEFT_ARM,1625020595196633125,1.5516243E7
LEFT_ARM,1625020595229966094,1.5474097E7
LEFT_ARM,1625020595263299063,1.5433383E7
LEFT_ARM,1625020595296632032,1.541712E7
LEFT_ARM,1625020595329965000,1.5410849E7
LEFT_ARM,1625020595363297969,1.5407973E7
LEFT_ARM,1625020595396630938,1.5404392E7
LEFT_ARM,1625020595429963907,1.5408904E7
LEFT_ARM,1625020595463296875,1.5409829E7
LEFT_ARM,1625020595496629844,1.5418836E7
LEFT_ARM,1625020595529962813,1.5432187E7
LEFT_ARM,1625020595563295782,1.5443448E7
LEFT_ARM,1625020595596628750,1.5456609E7
LEFT_ARM,1625020595629961719,1.5480204E7
LEFT_ARM,1625020595663294688,1.5496717E7
LEFT_ARM,1625020595696627657,1.5517987E7
LEFT_ARM,1625020595729960625,1.5534701E7
LEFT_ARM,1625020595763293594,1.5558036E7
LEFT_ARM,1625020595796626563,1.5575095E7
LEFT_ARM,1625020595829959532,1.5596968E7
LEFT_ARM,1625020595863292500,1.5627701E7
LEFT_ARM,1625020595896625469,1.5648357E7
LEFT_ARM,1625020595929958438,1.5666133E7
LEFT_ARM,1625020595963291407,1.5688056E7
LEFT_ARM,1625020595996624375,1.5718637E7
LEFT_ARM,1625020596029957344,1.5744909E7
LEFT_ARM,1625020596063290313,1.577014E7
LEFT_ARM,1625020596096623282,1.5790644E7
LEFT_ARM,1625020596129956250,1.5806808E7
LEFT_ARM,1625020596163289219,1.581184E7
LEFT_ARM,1625020596196622188,1.57766E7
LEFT_ARM,1625020596229955157,1.5723316E7
LEFT_ARM,1625020596263288125,1.5670011E7
LEFT_ARM,1625020596296621094,1.5623776E7
LEFT_ARM,1625020596329954063,1.5584525E7
LEFT_ARM,1625020596363287032,1.5553605E7
LEFT_ARM,1625020596396620000,1.5523928E7
LEFT_ARM,1625020596429952969,1.5508336E7
LEFT_ARM,1625020596463285938,1.5511011E7
LEFT_ARM,1625020596496618907,1.5508931E7
LEFT_ARM,1625020596529951875,1.5511979E7
LEFT_ARM,1625020596563284844,1.5514357E7
LEFT_ARM,1625020596596617813,1.5509893E7
LEFT_ARM,1625020596629950782,1.5510272E7
LEFT_ARM,1625020596663283750,1.552456E7
