Limb,Time,Value
LEFT_ARM,1626708220408000000,1.4304593E7
LEFT_ARM,1626708220441332969,1.4273593E7
LEFT_ARM,1626708220474665938,1.4228083E7
LEFT_ARM,1626708220507998906,1.4163205E7
LEFT_ARM,1626708220541331875,1.4093116E7
LEFT_ARM,1626708220574664844,1.4035736E7
LEFT_ARM,1626708220607997813,1.3982037E7
LEFT_ARM,1626708220641330781,1.393454E7
LEFT_ARM,1626708220674663750,1.389408E7
LEFT_ARM,1626708220707996719,1.3855723E7
LEFT_ARM,1626708220741329688,1.3823381E7
LEFT_ARM,1626708220774662656,1.3786827E7
LEFT_ARM,1626708220807995625,1.3750936E7
LEFT_ARM,1626708220841328594,1.3712173E7
LEFT_ARM,1626708220874661563,1.3679681E7
LEFT_ARM,1626708220907994531,1.3647984E7
LEFT_ARM,1626708220941327500,1.3620727E7
LEFT_ARM,1626708220974660469,1.3589747E7
LEFT_ARM,1626708221007993438,1.35639E7
LEFT_ARM,1626708221041326406,1.3537677E7
LEFT_ARM,1626708221074659375,1.3435173E7
LEFT_ARM,1626708221107992344,1.3233067E7
LEFT_ARM,1626708221141325313,1.3209509E7
LEFT_ARM,1626708221174658281,1.3193967E7
LEFT_ARM,1626708221207991250,1.3178716E7
LEFT_ARM,1626708221241324219,1.3159387E7
LEFT_ARM,1626708221274657188,1.3139553E7
LEFT_ARM,1626708221307990156,1.3117507E7
LEFT_ARM,1626708221341323125,1.3093997E7
LEFT_ARM,1626708221374656094,1.3069291E7
LEFT_ARM,1626708221407989063,1.3046216E7
LEFT_ARM,1626708221441322031,1.3020328E7
LEFT_ARM,1626708221474655000,1.2994487E7
LEFT_ARM,1626708221507987969,1.2951653E7
LEFT_ARM,1626708221541320938,1.2904311E7
LEFT_ARM,1626708221574653906,1.2856884E7
LEFT_ARM,1626708221607986875,1.2807184E7
LEFT_ARM,1626708221641319844,1.2767416E7
LEFT_ARM,1626708221674652813,1.2731984E7
LEFT_ARM,1626708221707985781,1.2702529E7
LEFT_ARM,1626708221741318750,1.2672444E7
LEFT_ARM,1626708221774651719,1.2648957E7
LEFT_ARM,1626708221807984688,1.2621211E7
LEFT_ARM,1626708221841317656,1.2594964E7
LEFT_ARM,1626708221874650625,1.2567177E7
LEFT_ARM,1626708221907983594,1.2543647E7
