Limb,Time,Value
LEFT_ARM,1626708757336000000,1.5840541E7
LEFT_ARM,1626708757369332969,1.5842464E7
LEFT_ARM,1626708757402665938,1.5822639E7
LEFT_ARM,1626708757435998907,1.5785655E7
LEFT_ARM,1626708757469331875,1.5753475E7
LEFT_ARM,1626708757502664844,1.5726996E7
LEFT_ARM,1626708757535997813,1.5710491E7
LEFT_ARM,1626708757569330782,1.5690895E7
LEFT_ARM,1626708757602663750,1.5671688E7
LEFT_ARM,1626708757635996719,1.5657027E7
LEFT_ARM,1626708757669329688,1.5652621E7
LEFT_ARM,1626708757702662657,1.5649452E7
LEFT_ARM,1626708757735995625,1.5637609E7
LEFT_ARM,1626708757769328594,1.5630475E7
LEFT_ARM,1626708757802661563,1.5625008E7
LEFT_ARM,1626708757835994532,1.5622137E7
LEFT_ARM,1626708757869327500,1.562028E7
LEFT_ARM,1626708757902660469,1.5623039E7
LEFT_ARM,1626708757935993438,1.5626953E7
LEFT_ARM,1626708757969326407,1.5627023E7
LEFT_ARM,1626708758002659375,1.5629351E7
LEFT_ARM,1626708758035992344,1.5632369E7
LEFT_ARM,1626708758069325313,1.5633631E7
LEFT_ARM,1626708758102658282,1.5638139E7
LEFT_ARM,1626708758135991250,1.5643939E7
LEFT_ARM,1626708758169324219,1.5651117E7
LEFT_ARM,1626708758202657188,1.5657384E7
LEFT_ARM,1626708758235990157,1.5667731E7
LEFT_ARM,1626708758269323125,1.5679272E7
LEFT_ARM,1626708758302656094,1.5685355E7
LEFT_ARM,1626708758335989063,1.5691092E7
LEFT_ARM,1626708758369322032,1.5698011E7
LEFT_ARM,1626708758402655000,1.5693397E7
LEFT_ARM,1626708758435987969,1.5667352E7
LEFT_ARM,1626708758469320938,1.5636692E7
LEFT_ARM,1626708758502653907,1.5617139E7
LEFT_ARM,1626708758535986875,1.5596869E7
LEFT_ARM,1626708758569319844,1.5585416E7
LEFT_ARM,1626708758602652813,1.5567376E7
LEFT_ARM,1626708758635985782,1.5558093E7
LEFT_ARM,1626708758669318750,1.5554557E7
LEFT_ARM,1626708758702651719,1.5555539E7
LEFT_ARM,1626708758735984688,1.5553753E7
LEFT_ARM,1626708758769317657,1.5551408E7
LEFT_ARM,1626708758802650625,1.5552097E7
LEFT_ARM,1626708758835983594,1.5560381E7
LEFT_ARM,1626708758869316563,1.5560033E7
LEFT_ARM,1626708758902649532,1.5566741E7
LEFT_ARM,1626708758935982500,1.5572883E7
LEFT_ARM,1626708758969315469,1.5584715E7
LEFT_ARM,1626708759002648438,1.5590159E7
LEFT_ARM,1626708759035981407,1.5599565E7
LEFT_ARM,1626708759069314375,1.5600624E7
LEFT_ARM,1626708759102647344,1.5611232E7
LEFT_ARM,1626708759135980313,1.5617211E7
LEFT_ARM,1626708759169313282,1.5622605E7
LEFT_ARM,1626708759202646250,1.563364E7
LEFT_ARM,1626708759235979219,1.5641992E7
LEFT_ARM,1626708759269312188,1.5653592E7
LEFT_ARM,1626708759302645157,1.5662833E7
LEFT_ARM,1626708759335978125,1.567272E7
LEFT_ARM,1626708759369311094,1.5682891E7
LEFT_ARM,1626708759402644063,1.5686213E7
LEFT_ARM,1626708759435977032,1.5667987E7
LEFT_ARM,1626708759469310000,1.5639112E7
LEFT_ARM,1626708759502642969,1.5613244E7
LEFT_ARM,1626708759535975938,1.5599085E7
LEFT_ARM,1626708759569308907,1.5583748E7
LEFT_ARM,1626708759602641875,1.5571371E7
LEFT_ARM,1626708759635974844,1.5554432E7
LEFT_ARM,1626708759669307813,1.5542704E7
LEFT_ARM,1626708759702640782,1.5541531E7
LEFT_ARM,1626708759735973750,1.5543392E7
LEFT_ARM,1626708759769306719,1.5543688E7
LEFT_ARM,1626708759802639688,1.5543268E7
LEFT_ARM,1626708759835972657,1.5540587E7
LEFT_ARM,1626708759869305625,1.5548108E7
LEFT_ARM,1626708759902638594,1.555414E7
LEFT_ARM,1626708759935971563,1.5562083E7
LEFT_ARM,1626708759969304532,1.5567465E7
LEFT_ARM,1626708760002637500,1.5574648E7
LEFT_ARM,1626708760035970469,1.5580165E7
LEFT_ARM,1626708760069303438,1.5588996E7
LEFT_ARM,1626708760102636407,1.5594352E7
LEFT_ARM,1626708760135969375,1.5602457E7
LEFT_ARM,1626708760169302344,1.5612835E7
LEFT_ARM,1626708760202635313,1.5623344E7
LEFT_ARM,1626708760235968282,1.5634191E7
LEFT_ARM,1626708760269301250,1.5643983E7
LEFT_ARM,1626708760302634219,1.5653311E7
LEFT_ARM,1626708760335967188,1.5662432E7
LEFT_ARM,1626708760369300157,1.5675655E7
LEFT_ARM,1626708760402633125,1.5687893E7
LEFT_ARM,1626708760435966094,1.5690533E7
LEFT_ARM,1626708760469299063,1.5679056E7
LEFT_ARM,1626708760502632032,1.5655404E7
LEFT_ARM,1626708760535965000,1.5632265E7
LEFT_ARM,1626708760569297969,1.5618087E7
LEFT_ARM,1626708760602630938,1.5604957E7
LEFT_ARM,1626708760635963907,1.5592144E7
LEFT_ARM,1626708760669296875,1.557836E7
LEFT_ARM,1626708760702629844,1.5571269E7
LEFT_ARM,1626708760735962813,1.5567488E7
LEFT_ARM,1626708760769295782,1.5572003E7
LEFT_ARM,1626708760802628750,1.5570748E7
LEFT_ARM,1626708760835961719,1.5569597E7
LEFT_ARM,1626708760869294688,1.556848E7
LEFT_ARM,1626708760902627657,1.5576491E7
LEFT_ARM,1626708760935960625,1.5580301E7
LEFT_ARM,1626708760969293594,1.5583855E7
LEFT_ARM,1626708761002626563,1.5590507E7
LEFT_ARM,1626708761035959532,1.5595856E7
LEFT_ARM,1626708761069292500,1.5597843E7
LEFT_ARM,1626708761102625469,1.5604072E7
LEFT_ARM,1626708761135958438,1.5613281E7
LEFT_ARM,1626708761169291407,1.5616749E7
LEFT_ARM,1626708761202624375,1.5623096E7
LEFT_ARM,1626708761235957344,1.5635211E7
LEFT_ARM,1626708761269290313,1.5639629E7
LEFT_ARM,1626708761302623282,1.5649861E7
LEFT_ARM,1626708761335956250,1.5656627E7
LEFT_ARM,1626708761369289219,1.5663831E7
LEFT_ARM,1626708761402622188,1.5673504E7
LEFT_ARM,1626708761435955157,1.5685236E7
LEFT_ARM,1626708761469288125,1.5694585E7
LEFT_ARM,1626708761502621094,1.5696452E7
LEFT_ARM,1626708761535954063,1.5681129E7
LEFT_ARM,1626708761569287032,1.5655557E7
LEFT_ARM,1626708761602620000,1.5634307E7
LEFT_ARM,1626708761635952969,1.5619041E7
LEFT_ARM,1626708761669285938,1.5608765E7
LEFT_ARM,1626708761702618907,1.559244E7
LEFT_ARM,1626708761735951875,1.5582299E7
LEFT_ARM,1626708761769284844,1.557328E7
LEFT_ARM,1626708761802617813,1.5575564E7
LEFT_ARM,1626708761835950782,1.5573437E7
LEFT_ARM,1626708761869283750,1.5570947E7
LEFT_ARM,1626708761902616719,1.5572567E7
LEFT_ARM,1626708761935949688,1.5572705E7
LEFT_ARM,1626708761969282657,1.5576029E7
LEFT_ARM,1626708762002615625,1.5583185E7
LEFT_ARM,1626708762035948594,1.5585627E7
LEFT_ARM,1626708762069281563,1.5597004E7
LEFT_ARM,1626708762102614532,1.5603085E7
LEFT_ARM,1626708762135947500,1.5605597E7
LEFT_ARM,1626708762169280469,1.5617877E7
LEFT_ARM,1626708762202613438,1.5625535E7
LEFT_ARM,1626708762235946407,1.5631905E7
LEFT_ARM,1626708762269279375,1.5639981E7
LEFT_ARM,1626708762302612344,1.5631992E7
LEFT_ARM,1626708762335945313,1.5580435E7
LEFT_ARM,1626708762369278282,1.5482909E7
LEFT_ARM,1626708762402611250,1.5356509E7
LEFT_ARM,1626708762435944219,1.5256996E7
LEFT_ARM,1626708762469277188,1.517574E7
LEFT_ARM,1626708762502610157,1.5138037E7
LEFT_ARM,1626708762535943125,1.5138029E7
LEFT_ARM,1626708762569276094,1.5165813E7
LEFT_ARM,1626708762602609063,1.5202435E7
LEFT_ARM,1626708762635942032,1.5200281E7
LEFT_ARM,1626708762669275000,1.5161803E7
LEFT_ARM,1626708762702607969,1.5097347E7
LEFT_ARM,1626708762735940938,1.5038844E7
LEFT_ARM,1626708762769273907,1.5026717E7
LEFT_ARM,1626708762802606875,1.5055648E7
LEFT_ARM,1626708762835939844,1.5104624E7
LEFT_ARM,1626708762869272813,1.517876E7
LEFT_ARM,1626708762902605782,1.5261069E7
LEFT_ARM,1626708762935938750,1.5350953E7
LEFT_ARM,1626708762969271719,1.5442431E7
LEFT_ARM,1626708763002604688,1.5517723E7
LEFT_ARM,1626708763035937657,1.5574037E7
LEFT_ARM,1626708763069270625,1.561712E7
LEFT_ARM,1626708763102603594,1.5651325E7
LEFT_ARM,1626708763135936563,1.5680749E7
LEFT_ARM,1626708763169269532,1.5708776E7
LEFT_ARM,1626708763202602500,1.5725944E7
LEFT_ARM,1626708763235935469,1.5744416E7
LEFT_ARM,1626708763269268438,1.5762264E7
LEFT_ARM,1626708763302601407,1.5778837E7
LEFT_ARM,1626708763335934375,1.5796795E7
LEFT_ARM,1626708763369267344,1.5811896E7
LEFT_ARM,1626708763402600313,1.5827549E7
LEFT_ARM,1626708763435933282,1.5838356E7
LEFT_ARM,1626708763469266250,1.585294E7
LEFT_ARM,1626708763502599219,1.5870199E7
LEFT_ARM,1626708763535932188,1.5883304E7
LEFT_ARM,1626708763569265157,1.5887784E7
LEFT_ARM,1626708763602598125,1.587442E7
LEFT_ARM,1626708763635931094,1.5852347E7
LEFT_ARM,1626708763669264063,1.5832528E7
LEFT_ARM,1626708763702597032,1.5818305E7
LEFT_ARM,1626708763735930000,1.5809899E7
LEFT_ARM,1626708763769262969,1.5797545E7
LEFT_ARM,1626708763802595938,1.5787948E7
LEFT_ARM,1626708763835928907,1.5781939E7
LEFT_ARM,1626708763869261875,1.5782703E7
LEFT_ARM,1626708763902594844,1.5782888E7
LEFT_ARM,1626708763935927813,1.578264E7
LEFT_ARM,1626708763969260782,1.5783272E7
LEFT_ARM,1626708764002593750,1.5779893E7
LEFT_ARM,1626708764035926719,1.5778575E7
LEFT_ARM,1626708764069259688,1.5785707E7
LEFT_ARM,1626708764102592657,1.5788279E7
LEFT_ARM,1626708764135925625,1.5792481E7
LEFT_ARM,1626708764169258594,1.5794837E7
LEFT_ARM,1626708764202591563,1.5803377E7
LEFT_ARM,1626708764235924532,1.5808413E7
LEFT_ARM,1626708764269257500,1.5816096E7
LEFT_ARM,1626708764302590469,1.5821755E7
LEFT_ARM,1626708764335923438,1.583168E7
LEFT_ARM,1626708764369256407,1.5843257E7
LEFT_ARM,1626708764402589375,1.5850188E7
LEFT_ARM,1626708764435922344,1.5861788E7
LEFT_ARM,1626708764469255313,1.5869755E7
LEFT_ARM,1626708764502588282,1.5880576E7
LEFT_ARM,1626708764535921250,1.5894556E7
LEFT_ARM,1626708764569254219,1.5902791E7
LEFT_ARM,1626708764602587188,1.5907021E7
LEFT_ARM,1626708764635920157,1.5892164E7
LEFT_ARM,1626708764669253125,1.5870785E7
LEFT_ARM,1626708764702586094,1.5845608E7
LEFT_ARM,1626708764735919063,1.5830651E7
LEFT_ARM,1626708764769252032,1.5820829E7
LEFT_ARM,1626708764802585000,1.5808227E7
LEFT_ARM,1626708764835917969,1.5793704E7
LEFT_ARM,1626708764869250938,1.5785825E7
LEFT_ARM,1626708764902583907,1.5785476E7
LEFT_ARM,1626708764935916875,1.5786445E7
LEFT_ARM,1626708764969249844,1.5781887E7
LEFT_ARM,1626708765002582813,1.5779757E7
LEFT_ARM,1626708765035915782,1.5784608E7
LEFT_ARM,1626708765069248750,1.5790541E7
LEFT_ARM,1626708765102581719,1.5795723E7
LEFT_ARM,1626708765135914688,1.5798092E7
LEFT_ARM,1626708765169247657,1.5802367E7
LEFT_ARM,1626708765202580625,1.5810949E7
LEFT_ARM,1626708765235913594,1.5812444E7
LEFT_ARM,1626708765269246563,1.5816733E7
LEFT_ARM,1626708765302579532,1.5823941E7
LEFT_ARM,1626708765335912500,1.5825937E7
LEFT_ARM,1626708765369245469,1.5834165E7
LEFT_ARM,1626708765402578438,1.5842033E7
LEFT_ARM,1626708765435911407,1.5849563E7
LEFT_ARM,1626708765469244375,1.5853832E7
LEFT_ARM,1626708765502577344,1.5862323E7
LEFT_ARM,1626708765535910313,1.5867768E7
LEFT_ARM,1626708765569243282,1.5877784E7
LEFT_ARM,1626708765602576250,1.5885755E7
LEFT_ARM,1626708765635909219,1.5879009E7
LEFT_ARM,1626708765669242188,1.5854091E7
LEFT_ARM,1626708765702575157,1.5831803E7
LEFT_ARM,1626708765735908125,1.5815317E7
LEFT_ARM,1626708765769241094,1.5803488E7
LEFT_ARM,1626708765802574063,1.5792133E7
LEFT_ARM,1626708765835907032,1.5776603E7
LEFT_ARM,1626708765869240000,1.5772123E7
LEFT_ARM,1626708765902572969,1.5769E7
LEFT_ARM,1626708765935905938,1.5767427E7
LEFT_ARM,1626708765969238907,1.5763316E7
LEFT_ARM,1626708766002571875,1.5765521E7
LEFT_ARM,1626708766035904844,1.5765935E7
LEFT_ARM,1626708766069237813,1.5767603E7
LEFT_ARM,1626708766102570782,1.5775663E7
LEFT_ARM,1626708766135903750,1.5779736E7
LEFT_ARM,1626708766169236719,1.5785635E7
LEFT_ARM,1626708766202569688,1.5792796E7
LEFT_ARM,1626708766235902657,1.5802901E7
LEFT_ARM,1626708766269235625,1.5807268E7
LEFT_ARM,1626708766302568594,1.5812063E7
LEFT_ARM,1626708766335901563,1.5817588E7
LEFT_ARM,1626708766369234532,1.5829051E7
LEFT_ARM,1626708766402567500,1.5838219E7
LEFT_ARM,1626708766435900469,1.5849272E7
LEFT_ARM,1626708766469233438,1.5855357E7
LEFT_ARM,1626708766502566407,1.5866953E7
LEFT_ARM,1626708766535899375,1.5872955E7
LEFT_ARM,1626708766569232344,1.5883419E7
LEFT_ARM,1626708766602565313,1.5888535E7
LEFT_ARM,1626708766635898282,1.5888415E7
LEFT_ARM,1626708766669231250,1.5869768E7
LEFT_ARM,1626708766702564219,1.5843209E7
LEFT_ARM,1626708766735897188,1.5824076E7
LEFT_ARM,1626708766769230157,1.5806555E7
LEFT_ARM,1626708766802563125,1.5791848E7
LEFT_ARM,1626708766835896094,1.5776841E7
LEFT_ARM,1626708766869229063,1.5766307E7
LEFT_ARM,1626708766902562032,1.5757327E7
LEFT_ARM,1626708766935895000,1.5753259E7
LEFT_ARM,1626708766969227969,1.5756544E7
LEFT_ARM,1626708767002560938,1.5751424E7
LEFT_ARM,1626708767035893907,1.5747848E7
LEFT_ARM,1626708767069226875,1.5747741E7
LEFT_ARM,1626708767102559844,1.5750621E7
LEFT_ARM,1626708767135892813,1.5756527E7
LEFT_ARM,1626708767169225782,1.5758749E7
LEFT_ARM,1626708767202558750,1.576428E7
LEFT_ARM,1626708767235891719,1.5768008E7
LEFT_ARM,1626708767269224688,1.5774147E7
LEFT_ARM,1626708767302557657,1.5778825E7
LEFT_ARM,1626708767335890625,1.5784683E7
LEFT_ARM,1626708767369223594,1.5792629E7
LEFT_ARM,1626708767402556563,1.5801288E7
LEFT_ARM,1626708767435889532,1.5810068E7
LEFT_ARM,1626708767469222500,1.5820567E7
LEFT_ARM,1626708767502555469,1.582572E7
LEFT_ARM,1626708767535888438,1.5835096E7
LEFT_ARM,1626708767569221407,1.5841797E7
LEFT_ARM,1626708767602554375,1.5854531E7
LEFT_ARM,1626708767635887344,1.5862335E7
LEFT_ARM,1626708767669220313,1.5854519E7
LEFT_ARM,1626708767702553282,1.5835645E7
LEFT_ARM,1626708767735886250,1.580788E7
LEFT_ARM,1626708767769219219,1.5788429E7
LEFT_ARM,1626708767802552188,1.5778263E7
LEFT_ARM,1626708767835885157,1.5766957E7
LEFT_ARM,1626708767869218125,1.5752683E7
LEFT_ARM,1626708767902551094,1.5741608E7
LEFT_ARM,1626708767935884063,1.5739529E7
LEFT_ARM,1626708767969217032,1.5740375E7
LEFT_ARM,1626708768002550000,1.5736291E7
LEFT_ARM,1626708768035882969,1.5735296E7
LEFT_ARM,1626708768069215938,1.5735869E7
LEFT_ARM,1626708768102548907,1.5744701E7
LEFT_ARM,1626708768135881875,1.5748325E7
LEFT_ARM,1626708768169214844,1.575362E7
LEFT_ARM,1626708768202547813,1.5759813E7
LEFT_ARM,1626708768235880782,1.5762403E7
LEFT_ARM,1626708768269213750,1.5770557E7
LEFT_ARM,1626708768302546719,1.5775987E7
LEFT_ARM,1626708768335879688,1.5784341E7
LEFT_ARM,1626708768369212657,1.5791363E7
LEFT_ARM,1626708768402545625,1.5796427E7
LEFT_ARM,1626708768435878594,1.5808559E7
LEFT_ARM,1626708768469211563,1.5812455E7
LEFT_ARM,1626708768502544532,1.5823597E7
LEFT_ARM,1626708768535877500,1.5830983E7
LEFT_ARM,1626708768569210469,1.5839312E7
LEFT_ARM,1626708768602543438,1.5850936E7
LEFT_ARM,1626708768635876407,1.5859875E7
LEFT_ARM,1626708768669209375,1.587124E7
LEFT_ARM,1626708768702542344,1.5871049E7
LEFT_ARM,1626708768735875313,1.5852663E7
LEFT_ARM,1626708768769208282,1.5826556E7
LEFT_ARM,1626708768802541250,1.5805579E7
LEFT_ARM,1626708768835874219,1.578966E7
LEFT_ARM,1626708768869207188,1.5778541E7
LEFT_ARM,1626708768902540157,1.5765335E7
LEFT_ARM,1626708768935873125,1.5753775E7
LEFT_ARM,1626708768969206094,1.5749077E7
LEFT_ARM,1626708769002539063,1.57516E7
LEFT_ARM,1626708769035872032,1.5746685E7
LEFT_ARM,1626708769069205000,1.5741797E7
LEFT_ARM,1626708769102537969,1.5741455E7
LEFT_ARM,1626708769135870938,1.5743951E7
LEFT_ARM,1626708769169203907,1.5747871E7
LEFT_ARM,1626708769202536875,1.5754192E7
LEFT_ARM,1626708769235869844,1.5757595E7
LEFT_ARM,1626708769269202813,1.5768184E7
LEFT_ARM,1626708769302535782,1.5768896E7
LEFT_ARM,1626708769335868750,1.5772997E7
LEFT_ARM,1626708769369201719,1.5781912E7
LEFT_ARM,1626708769402534688,1.5785001E7
LEFT_ARM,1626708769435867657,1.5796064E7
LEFT_ARM,1626708769469200625,1.5807045E7
LEFT_ARM,1626708769502533594,1.5812783E7
LEFT_ARM,1626708769535866563,1.5822453E7
LEFT_ARM,1626708769569199532,1.5831255E7
LEFT_ARM,1626708769602532500,1.5839699E7
LEFT_ARM,1626708769635865469,1.5852985E7
LEFT_ARM,1626708769669198438,1.5867373E7
LEFT_ARM,1626708769702531407,1.5876605E7
LEFT_ARM,1626708769735864375,1.5864909E7
LEFT_ARM,1626708769769197344,1.5839348E7
LEFT_ARM,1626708769802530313,1.5819153E7
LEFT_ARM,1626708769835863282,1.5804221E7
LEFT_ARM,1626708769869196250,1.5795155E7
LEFT_ARM,1626708769902529219,1.5784109E7
LEFT_ARM,1626708769935862188,1.5773847E7
LEFT_ARM,1626708769969195157,1.5773115E7
LEFT_ARM,1626708770002528125,1.577552E7
LEFT_ARM,1626708770035861094,1.5774555E7
LEFT_ARM,1626708770069194063,1.5777264E7
LEFT_ARM,1626708770102527032,1.577336E7
LEFT_ARM,1626708770135860000,1.5779371E7
LEFT_ARM,1626708770169192969,1.5783211E7
LEFT_ARM,1626708770202525938,1.5788649E7
LEFT_ARM,1626708770235858907,1.5795133E7
LEFT_ARM,1626708770269191875,1.5805076E7
LEFT_ARM,1626708770302524844,1.5810195E7
LEFT_ARM,1626708770335857813,1.5820721E7
LEFT_ARM,1626708770369190782,1.5826699E7
LEFT_ARM,1626708770402523750,1.5834616E7
LEFT_ARM,1626708770435856719,1.5846567E7
LEFT_ARM,1626708770469189688,1.5856467E7
LEFT_ARM,1626708770502522657,1.5866323E7
