Limb,Time,Value
LEFT_ARM,1625021077767000000,1.4363523E7
LEFT_ARM,1625021077800332969,1.4373155E7
LEFT_ARM,1625021077833665938,1.4381459E7
LEFT_ARM,1625021077866998907,1.4392003E7
LEFT_ARM,1625021077900331875,1.4405125E7
LEFT_ARM,1625021077933664844,1.4419949E7
LEFT_ARM,1625021077966997813,1.4433825E7
LEFT_ARM,1625021078000330782,1.4441173E7
LEFT_ARM,1625021078033663750,1.4457775E7
LEFT_ARM,1625021078066996719,1.4470428E7
LEFT_ARM,1625021078100329688,1.4492112E7
LEFT_ARM,1625021078133662657,1.4507924E7
LEFT_ARM,1625021078166995625,1.4523801E7
LEFT_ARM,1625021078200328594,1.4536601E7
LEFT_ARM,1625021078233661563,1.4557784E7
LEFT_ARM,1625021078266994532,1.457044E7
LEFT_ARM,1625021078300327500,1.4590084E7
LEFT_ARM,1625021078333660469,1.4605893E7
LEFT_ARM,1625021078366993438,1.4623051E7
LEFT_ARM,1625021078400326407,1.4639113E7
LEFT_ARM,1625021078433659375,1.4632721E7
LEFT_ARM,1625021078466992344,1.4592677E7
LEFT_ARM,1625021078500325313,1.4537248E7
LEFT_ARM,1625021078533658282,1.4485371E7
LEFT_ARM,1625021078566991250,1.4443872E7
LEFT_ARM,1625021078600324219,1.4403069E7
LEFT_ARM,1625021078633657188,1.4370193E7
LEFT_ARM,1625021078666990157,1.434376E7
LEFT_ARM,1625021078700323125,1.4328093E7
LEFT_ARM,1625021078733656094,1.4321424E7
LEFT_ARM,1625021078766989063,1.4312995E7
LEFT_ARM,1625021078800322032,1.4307949E7
LEFT_ARM,1625021078833655000,1.4302669E7
LEFT_ARM,1625021078866987969,1.4299907E7
LEFT_ARM,1625021078900320938,1.4294235E7
LEFT_ARM,1625021078933653907,1.4300311E7
LEFT_ARM,1625021078966986875,1.4307787E7
LEFT_ARM,1625021079000319844,1.4320041E7
LEFT_ARM,1625021079033652813,1.4330357E7
LEFT_ARM,1625021079066985782,1.4345795E7
LEFT_ARM,1625021079100318750,1.4361152E7
LEFT_ARM,1625021079133651719,1.4371632E7
LEFT_ARM,1625021079166984688,1.4385792E7
LEFT_ARM,1625021079200317657,1.4401892E7
LEFT_ARM,1625021079233650625,1.4415412E7
LEFT_ARM,1625021079266983594,1.4437288E7
LEFT_ARM,1625021079300316563,1.4450191E7
LEFT_ARM,1625021079333649532,1.4463776E7
LEFT_ARM,1625021079366982500,1.4478204E7
LEFT_ARM,1625021079400315469,1.4489427E7
LEFT_ARM,1625021079433648438,1.4505443E7
LEFT_ARM,1625021079466981407,1.4522163E7
LEFT_ARM,1625021079500314375,1.4540427E7
LEFT_ARM,1625021079533647344,1.4557152E7
LEFT_ARM,1625021079566980313,1.4565951E7
LEFT_ARM,1625021079600313282,1.4543299E7
LEFT_ARM,1625021079633646250,1.4500827E7
LEFT_ARM,1625021079666979219,1.4446051E7
LEFT_ARM,1625021079700312188,1.440562E7
LEFT_ARM,1625021079733645157,1.4378296E7
LEFT_ARM,1625021079766978125,1.4355697E7
LEFT_ARM,1625021079800311094,1.4331509E7
LEFT_ARM,1625021079833644063,1.4316021E7
LEFT_ARM,1625021079866977032,1.4309981E7
LEFT_ARM,1625021079900310000,1.4317815E7
LEFT_ARM,1625021079933642969,1.4317095E7
LEFT_ARM,1625021079966975938,1.4316608E7
LEFT_ARM,1625021080000308907,1.4317003E7
LEFT_ARM,1625021080033641875,1.4318564E7
LEFT_ARM,1625021080066974844,1.432576E7
LEFT_ARM,1625021080100307813,1.4330509E7
LEFT_ARM,1625021080133640782,1.4344208E7
LEFT_ARM,1625021080166973750,1.4355027E7
LEFT_ARM,1625021080200306719,1.4365721E7
LEFT_ARM,1625021080233639688,1.4376724E7
LEFT_ARM,1625021080266972657,1.4389875E7
LEFT_ARM,1625021080300305625,1.4402707E7
LEFT_ARM,1625021080333638594,1.4412427E7
LEFT_ARM,1625021080366971563,1.4425721E7
LEFT_ARM,1625021080400304532,1.4440724E7
LEFT_ARM,1625021080433637500,1.4460301E7
LEFT_ARM,1625021080466970469,1.4476051E7
LEFT_ARM,1625021080500303438,1.4493547E7
LEFT_ARM,1625021080533636407,1.4508067E7
LEFT_ARM,1625021080566969375,1.4524373E7
LEFT_ARM,1625021080600302344,1.4545549E7
LEFT_ARM,1625021080633635313,1.4567573E7
LEFT_ARM,1625021080666968282,1.4583864E7
LEFT_ARM,1625021080700301250,1.4594477E7
LEFT_ARM,1625021080733634219,1.4570921E7
LEFT_ARM,1625021080766967188,1.4517216E7
LEFT_ARM,1625021080800300157,1.4469731E7
LEFT_ARM,1625021080833633125,1.4430691E7
LEFT_ARM,1625021080866966094,1.4401081E7
LEFT_ARM,1625021080900299063,1.437232E7
LEFT_ARM,1625021080933632032,1.4346731E7
LEFT_ARM,1625021080966965000,1.4328232E7
LEFT_ARM,1625021081000297969,1.4321359E7
LEFT_ARM,1625021081033630938,1.4323737E7
LEFT_ARM,1625021081066963907,1.4323113E7
LEFT_ARM,1625021081100296875,1.4322051E7
LEFT_ARM,1625021081133629844,1.4327963E7
LEFT_ARM,1625021081166962813,1.4327925E7
LEFT_ARM,1625021081200295782,1.4334784E7
LEFT_ARM,1625021081233628750,1.4343811E7
LEFT_ARM,1625021081266961719,1.4356196E7
LEFT_ARM,1625021081300294688,1.4367976E7
LEFT_ARM,1625021081333627657,1.4379792E7
LEFT_ARM,1625021081366960625,1.4394675E7
LEFT_ARM,1625021081400293594,1.4407848E7
LEFT_ARM,1625021081433626563,1.4426867E7
LEFT_ARM,1625021081466959532,1.4439437E7
LEFT_ARM,1625021081500292500,1.4452963E7
LEFT_ARM,1625021081533625469,1.4472733E7
LEFT_ARM,1625021081566958438,1.4488475E7
LEFT_ARM,1625021081600291407,1.4507028E7
LEFT_ARM,1625021081633624375,1.4521867E7
LEFT_ARM,1625021081666957344,1.4536488E7
LEFT_ARM,1625021081700290313,1.4550101E7
LEFT_ARM,1625021081733623282,1.4566769E7
LEFT_ARM,1625021081766956250,1.4581255E7
LEFT_ARM,1625021081800289219,1.4600872E7
LEFT_ARM,1625021081833622188,1.4610984E7
LEFT_ARM,1625021081866955157,1.4598161E7
LEFT_ARM,1625021081900288125,1.455324E7
LEFT_ARM,1625021081933621094,1.4502547E7
LEFT_ARM,1625021081966954063,1.4457393E7
LEFT_ARM,1625021082000287032,1.4425664E7
LEFT_ARM,1625021082033620000,1.4395699E7
LEFT_ARM,1625021082066952969,1.436828E7
LEFT_ARM,1625021082100285938,1.4347383E7
LEFT_ARM,1625021082133618907,1.4335993E7
LEFT_ARM,1625021082166951875,1.4337476E7
LEFT_ARM,1625021082200284844,1.4339977E7
LEFT_ARM,1625021082233617813,1.43396E7
LEFT_ARM,1625021082266950782,1.4342127E7
LEFT_ARM,1625021082300283750,1.4343963E7
LEFT_ARM,1625021082333616719,1.4350088E7
LEFT_ARM,1625021082366949688,1.4359373E7
LEFT_ARM,1625021082400282657,1.4368999E7
LEFT_ARM,1625021082433615625,1.438292E7
LEFT_ARM,1625021082466948594,1.4393765E7
LEFT_ARM,1625021082500281563,1.4409211E7
LEFT_ARM,1625021082533614532,1.4424156E7
LEFT_ARM,1625021082566947500,1.44367E7
LEFT_ARM,1625021082600280469,1.4451423E7
LEFT_ARM,1625021082633613438,1.4467301E7
LEFT_ARM,1625021082666946407,1.4482077E7
LEFT_ARM,1625021082700279375,1.449802E7
LEFT_ARM,1625021082733612344,1.4514383E7
LEFT_ARM,1625021082766945313,1.4530489E7
LEFT_ARM,1625021082800278282,1.4544784E7
LEFT_ARM,1625021082833611250,1.4562921E7
LEFT_ARM,1625021082866944219,1.4582128E7
LEFT_ARM,1625021082900277188,1.4596968E7
LEFT_ARM,1625021082933610157,1.4614148E7
LEFT_ARM,1625021082966943125,1.4622848E7
LEFT_ARM,1625021083000276094,1.461578E7
LEFT_ARM,1625021083033609063,1.4576463E7
LEFT_ARM,1625021083066942032,1.4522248E7
LEFT_ARM,1625021083100275000,1.4476619E7
LEFT_ARM,1625021083133607969,1.4439768E7
LEFT_ARM,1625021083166940938,1.4409073E7
LEFT_ARM,1625021083200273907,1.4382007E7
LEFT_ARM,1625021083233606875,1.4356497E7
LEFT_ARM,1625021083266939844,1.4346792E7
LEFT_ARM,1625021083300272813,1.43532E7
LEFT_ARM,1625021083333605782,1.4347093E7
LEFT_ARM,1625021083366938750,1.4350584E7
LEFT_ARM,1625021083400271719,1.4348044E7
LEFT_ARM,1625021083433604688,1.4351216E7
LEFT_ARM,1625021083466937657,1.4357061E7
LEFT_ARM,1625021083500270625,1.4362141E7
LEFT_ARM,1625021083533603594,1.4371627E7
LEFT_ARM,1625021083566936563,1.4381432E7
